,Review,Ratings
43,guest mbs staycation folk like us staff friendly helpful upgraded find birthday key card work fourth time upon check patient adapt ensure safe environment towel wrap plastic no longer hang around remote control wrap plastic no room service menu lie around thumb decide go spagos whim get us table pre book favourite restaurant mb slot pool almost didn get shout calvin lifeguard pool make short hour pool very enjoyable helpful friendly help,Positive
46,book grand club room city view saw offer garden view bathroom compare club room check staff tell two option either lvl tower lvl tower view since view obviously choose high floor room no doubt view bedroom city spectacular esp night however disappointed bathroom frost glass view garden would not mislead staff would go tower option instead nonetheless great experience add comment future visitor since mb website particularly vague different configuration,Positive
47,stayed part staycation october half term two child last minute decision husband manage get suite nd floor suite give us view marina well view super tree behind truly spectacular even child spend hour gaze view room felt clean spacious towel cup toiletry plastic covering show covered wash sterlising breakfast chose eat spagio good selection choice attentive need unfortunately book last minute not able book slot go use swim pool,Positive
48,wife month old baby daughter very pleasant check process lady check counter very professional answered question patience superb knowledge baggage arrive room shortly tap room room th floor face garden bay baby cot baby bath already place room upon book request splendid view night light get yet another stellar view staycation top great din experience cut wolfgang puck shoppes pair half bottle wine steak order thorughly enjoyed time marina bay sand shoppes furtheremore give assurance strict,Positive
49,special mention anand origin bloom mbs awesome service saw baby us run store offer us special surprise thanks make day kudos team,Positive
50,celebrate anniversary october th view city night room spectacular definitely worth price sunday night wait light water show pm sadly wasn another downside place lack halal restaurant even cake give anniversary wasn halal abit disappointed halal place beanstro previously coffee bean tea leaf google didn update locate shoppes no choice walk quite distance outside shoppes get food abit inconvenient lastly like thank firdaus pool department provide us complimentary drink last day ton photos help take,Positive
51,would like compliment regard service render us stay rd october th october room no thank mbs awesome hospitality lucky bump awesome staff service top notch kudos service quality check lobby infinity pool security rise restaurant housekeeper valet park thank make th year wed anniversary staycay memorable one definitely make come back names staff manage get give awesome service actually wow ms julie check counter mr firdaus infinity pool mr ryan lifeguard infinity pool mr shahdan zainal security officer,Positive
52,frontend staff very kind patience may upgrade room type registration counter receive free car park ticket registration count also dollar reward membership counter room very big clean could enjoy sea garden view balcony forget swim take picture,Positive
54,amaze detail safety measurement appreciate little toiletry bag essential like mask sanitiser etc check breeze reception really cheery informative room everyone know boast view impressed towel neatly shrink wrapped range toiletry available mini bar complimentary soft drink juice nespresso capsule tea also available different cup also available bed comfortable large get premier room love bathtub book swim pool advance although really cold pool find enjoyment heat jacuzzi find time visit sky park day night different,Positive
55,staycation deal mean opportunity stay iconic mb lot safe distance measure lot pre book hour front load gym pool garden bay still fabulous view buzz area fabulous stay one hour pool actually perhaps half hour short allow ample room pool area though sit hot tub alone floor not quite experience very impressed though balcony view harbor garden hallway view city marina totally felt spoiled complimentary item room huge bath tub food voucher make us feel spoiled black tap best burger city enormous milkshake casino open pre covid member explore around,Positive
56,stay multiple time still look forward visit whenever time permit service staff always attentive accommodative friendly throughout facility well maintain cleanliness always high standard great view stay high floor convenient location great place shopper door step,Positive
57,nice room wonderful view room stay level really enjoyed relax stay one night large bath tub bathroom area cleanliness excellent dinner celavi restaurant food average lack manpower still okay pm go infinity pool enjoy swim pool super amaze view,Positive
58,would like thank service staff attend us check counter didn get name really helpful patient us thanks staff club rise assist us take order serve polite accomodating thank us leave make us feel special actually birthday staff infinity pool dennis help book slot really thankful help not would really very disappointing kudos staff marina bay sand keep quality service add one feedback possible bidet toilet thank,Positive
59,room huge spacious toilet bath tub get view face sea amazing view day night view infinity pool also lovely booked time slot pm pm even though cloudy day not able see sunset view city great definitely worth every dollar staycation,Positive
60,third stay never disappointed time go one large suit room fantastic service excellent really enjoyed time infinity pool,Positive
61,queue check staff fast respond room comfortable infinity pool perfect lucky get news need book go ahead book pool h day check pool wasn crowd very strict w number visitor think smuggle visitor like security check every tower isn way cross tower enjoy stay,Positive
63,tip maximize staycation book pool access immediately make book max allow capacity pool pax tower point time room allow hour visit pool per day n staycation pool access full almost fully book entire week stay pre order peking duck blossom restaurant day advance promo entire peking duck coordinate family facility usage schedule pool gym sauna skylark require key card per pax entry room operate issue card slot therefore pax pool room not electricity,Positive
64,very thankful front desk pauline help reserve infinity pool slot pm call personal number inform outside area try booked online slot not available really appreciated thank birthday cake well,Positive
65,come night stay national day really crowd guess lot people book room next day fireworks pro room view really die love spacious club room view room toilet service great even though packed staff around ask quick question shop mall casino win find short entertainment even go garden bay foot housekeep make sure santise every room towel pack nicely ensure clean period breakfast afternoon tea serve lounge still free flow style serve item,Positive
66,great pleasant staycation marina bay sand beside clean room friendly staff great food spacious room great view awesome infinity pool frustration upfront stay due government regulation course mbs well change thing way operate one fact room enjoy swim pool one hour day email day upfront ask book swim slot tell us slot already take really angry offer staycations not guarantee guest place swim pool not even one hour day offer us cancel book free look forward,Positive
67,family book two room mbs staycation view covid condition cannot travel overseas period check fast efficient welcome juice check safety measure put place appropriate opinion room huge clean view garden view room amaze balcony face garden bay marina barrage room city view no balcony period guest allow one hour day pool book system best experience far us order food drink pool gym appropriate safe distancing measure place like pool usage book prior overall,Positive
68,due advent covid many restriction put place expect very long queue check weekend usage infinity pool cut hour per day u book slot advance however mention not stop us enjoy stay would like commend mark front office department top notch service patient query regard restriction everything pool attendant team dennis brandon evangela excellent service pleasant stay thank mb xx,Positive
70,enjoy stay th floor garden view staff concierge very accommodate request high floor despite surge guest time great time breakfast spago th floor amazing experience,Positive
71,obviously iconic stay first impression come us huge lobby immense large high reception bit american line wait check quite efficient very commercial sell us upgrade really loved end room great spacious super view bay skyline famous pool lovely not really pool sense cm deep forget swim serf very well cool make super picture great choice restaurant not enough connect mall dozen,Positive
72,stay n girlfriend family complimentary stay orchid suite premier room honestly not expect much heard others stay almost no frill casino check vip area smooth many safe distance sanitise measure place make us feel secure take roughly min get counter friday afternoon request connecting room due nric different address allow adjoin room minor inconvenience luxury amaze view th floor city room orchid suite bath tub face garden bay sight behold orchid suite enough space accommodate,Positive
73,wouldn hesitate come back suite absolutely stun gorgeous view room garden bay beautiful view city infinity pool side harbour jacuzzi side recommend anyone hand area no complaint end,Positive
75,smooth check cleanliness tiptop receive complimentary cake anniversary very accommodate love garden view night love infinity pool go wrong mb nothing,Positive
76,stay night amaze staycation easy accessible property drive take public transport assist mr avan guest service very friendly helpful show us around property lobby get ourself clean spacious room face seaview garden bay th level view speechless balcony enjoy breathtaking view two country view location weather perfect rain like sleep cloud due altitude stay way manages infinity pool cater guest due pandemic brilliant go session way less crowded usual area swim sit around,Positive
77,bucket list trip fabulous marina bay sand lovely ideally place easy access main attraction perfect place stay night rooftop pool great bar roof really cool would thoroughly recommend,Positive
78,covid pandemic cause lot restriction travel wed anniversary opt stay local couple night support local business many thanks mbs support frontline healthcare worker upgrade premium king harbour view breathtaking room cavernous balcony great watch sunrise sunset toilet particularly large separate shower cubical standing bathtub centre distinct toto waterclosets minibar complimentary foamy nespresso coffee get us right start morning return lovely chocolate cake room afternoon thoughtful gesture anniversary adjacent shoppes provide us,Positive
79,trip marina bay sand absolutely beautiful very much enjoy balcony look onto glorious country genuinely great experience service slightly underwhelming though find spago one restaurant available public book slightly less cared restaurant room seem lovely clean yes absolutely beautiful see everytime enter room even though time covid staff count regular rate food lovely many restaurant choose eventually visit facility explore marina mall many shop nice thing take trip,Positive
80,service marina bay sand impeccable follow experience make book sept sept sm reminder receive booking mb marketing staff also provide excellent service check put request high floor kingsize bed balcony assistance early booking infinity pool due covid limit slot need book early avoid disappointment upon check serve receptionist m amy korean lady go extra mile ensure requirement ie king size double bed high floor balcony face garden bay m amy receptionist pleasant attentively serve wonderful smile start,Positive
81,family day staycation mb need not say beautiful infinity pool skyline staff friendly firm take no chance battle covid housekeep staff helpful ensure room properly clean everyday overall stay wonderful recharge us foster strong family tie,Positive
83,always love come back mbs view fantastic nice stay kid love pool much always look forward stay worth money excellent stay always staff helpful friendly surely stay,Positive
86,great service anna team brennan edison thank make wed day special provide us nice cake guest very surprised kind gesture food great well crab galore good,Positive
87,stay mb deluxe room tower night everything clean bright m micah front desk very thorough even offer let us check pm find pool book m francessca also go way make sure everything need pool simply amaze take pm pm time slot transition day night back,Positive
88,greet warmly front office staff joanne another lady kindly escort us tower room amaze beyond expect service tip top front desk poolside club everything amazing time check time checked room stay orchid suite would recommend want spend time love one privately view room amazing see image thank every single one attend us make honeymoon one remember,Positive
89,stay night tour asia honeymoon last christmas stay tower city facing room huge everything marina bay gear keep onsite many place eat play could do week roof top pool truly amazing yes busy marina bay expect love cruise would class cruise ship style intermate personal experience marina bay probably isn defiantly head back would stay marina bay,Positive
91,room nice thing air con temp controller seem not work bath room spacious whole room clean tidy mattress comfortable sleep good firm pillow win sink easily infinity pool need get q number session hour slight disappointment order room din breakfast breakfast spread delicious slightly less portion staycation would say money worth,Positive
92,bucket list long time worth wait infinity pool although busy amaze experience view absolutely stun very large stylish room worth extra balcony room bathtub could watch one light show balcony,Positive
93,really great time stay mbs service staff atmosphere awesome staycation really felt like get away much shopping eat swim etc lot promotion restaurant bar spend lot time eat drinking,Positive
94,room spacious clean great view garden bay harbour lobby crowd check saturday wait wasn long stay also come care package hand sanitizer mask mask case very thoughtful great stay overall,Positive
95,take advantage good deal phase tick infinity pool bucket list celebrate year anniversary living stay night check public holiday monday national day deal good moment thing aware give social distancing may impact stay check maybe naive think would quieter monday people back work tuesday however check take us hour queue quite crowd reception area albeit social distance marker staff enforcement personally find uncomfortable frustrate totally appreciate could not open counter distance protect,Positive
97,due covid show cancel still great family bonding time together staff mbs efficient helpful visit spot jason supermarket easily buy fruit drink deli neighbourhood price,Positive
98,impressed attentiveness valet staff wait pick arrive late min carry sleep baby heavy bag manivannan notice immediately come check assist reject initially however see struggle baby switch positon immediately come assist bag request stroller sit sleep baby extremely grateful help no doubt gem service line post review couldnt find right contact link share compliment webpage hope review get management thank end day well warm gesture,Positive
99,day night stay august definitely thank concierge team especially mr param making stay pleasant one thank mb surely go back staycations,Positive
100,marina bay sand one symbols one best view marina bay harbor front choose room garden bay marina bay view opinion garden good unless come f new year prefer get room low floor since believe get small top room nice course everything nearby course people come pool im one duo photography need come time time like pool good weather pic cloudy weather much much cooler outside breakfast nice well front desk very helpful friendly course believe nice people,Positive
101,lovely nights staycation kid service good view incredible stay tower st floor opportunity stay city view garden ocean view love sea would always prefer latter thing note covid phase not mention ur book stay inform u receptionist order enter infinity pool either enjoy walk around need book slot hr slot time ur book limit due cap pax slot advice u book check u manage get slot fabulous pool basically empty due everyone spread apart kid good time since,Positive
103,manage time right sun go make sure left hand side view platform able see garden bay light show beautiful view wonderful city well worth entrance fee,Positive
104,take asian tour visit place really want visit spending day go top building day view incredible well floor bound shape building tower top ship shape top incredible place view firework display hold even also restaurant swim pool facilitate room within structure meet friend happen time great time nightclub ringside seat watch light show drink wine dance must visit,Positive
105,very impressed whole setup mb book club room could use lounge check very efficient staff not wear facemasks also face shield safety google later go pool go smoothly may help mid week thing quieter didn queue lift entrance pool club pool very quiet take obligatory selfies swim people pool us later afternoon go club drink excellent food staff friendly very efficient constantly clean table chair etc couldn dinner hotel restaurant,Positive
106,greet vitya upon check process slightly different everything smooth quick vitya explain new process use facility room spacious amazing view thank vitya mb team amaze stay,Positive
107,greet haffidz concierge process check explain safe protocol booking adhere social distance everything minibar complimentary awesome like coziness space room enjoy room breakfast well pamper upon mention celebrate anniversary check prepare lovely amenity room spago dinner overly impress shoutout sheena guest service haffidz concierge making sure wonderful stay conclusion look amazing service friendliness everyone come book stay mb,Positive
108,wife staycation nothing beat mbs term class location book first time wife birthday manage pull surprise party staff very helpful provide timely respond logistic ensure surprise party success not room book meant overlook garden view check wife want city view since birthday staff go beyond upgrade us suite otc maximum level view could see garden city highlight city view night time light cbd building awesome could also see sun rise well garden bay direction,Positive
109,room very spacious fit family even bathroom area roomy room come double bedded sofa bed extra bed stay room level overlook city area love bird eye view full length glass window room free entry infinity pool observation deck level although didnt book pool swim able gain entry use room card take photo surround place minibar complimentary come nespresso machine pay usual stay view definitely best view ever see,Positive
111,stayed one night staycation visit excellent mb offer several good staycation promotion website consider get lifestyle reward card get access good deal even well covid phase closely adhere social distancing guideline several ambassador place around ensure happen three day prior visit receive text invite sign one hour slot pool day choose go pm first day follow morning fun contrast view different time day view amaze arrive noon able get room official check time think save us lot,Positive
112,great highlight definitely infinity pool room amaze nice view service extremely professional however lobby way crowd people visit separate lobby reserve guest queue check really long apart two point everything else perfect,Positive
113,enjoyable stay day night mbs room very clean comfy front desk house keep service excellent well whenever need top essential sundries make call front desk dissiminated request house keep team promptly house keeper deliver item room shortly currently towel bathroom seal plastic cling many time hard time tear plastic tightly wrap would suggest house keep team could prepare pair scissors guest use room overall service provide excellent thumb,Positive
114,dear mbs charge would like compliment one employee madam asteria excellent service provide friend today marina bay sand infinity pool really professional friendly staff helpee friend arrangement birthday today really wonderfully hope u would recognize staff give reward deserve very very happy service provide staff excellent hope visit mbs soon one day thank mr balamurugan,Positive
115,staff very helpful accommodate moment check departure room comfortable pillow nice add balcony love infinity pool pleasure stay,Positive
116,stay friend weekday night early august late celebration birthday june accommodate note kindly give yummy chocolate cake despite not actual birthday month check experience allow early check around pm check least tower could definitely quicker counter open thankfully get counter right majorly long queue start form behind us still take us minute take note besides safeentry rather lengthy mb form fill well room get free room upgrade include chosen package get deluxe sky view room rd floor tower view magnificent very spacious,Positive
121,stayed access rooftop pool massive could easily get lose worth us access rooftop pool many option meal restaurant shop mall attach also good location see different tourist site like garden bay,Positive
122,very suitable place stay cation business stay night enjoy totally staff friendly nice view comfortable room totally recommend place,Positive
123,truly loved stay room spacious well appoint architecture impressive rooftop infinity pool breathtaking visit must,Positive
124,friend visit indonesian friend stay th storey suite tower marina bay sand national day august room spacious nice wide balcony allow one enjoy panaromic view garden bay opposite area around bathroom large washbasin tastefully furnish good quality marble fitting night almost constant breeze blow really very pleasant sit eat chat balcony glad opportunity see suite vip member,Positive
126,write behalf entire law family thank wonderful staff make anniversary celebration memorable occasion chocolate cake macarons service manager ella barrientos place room well present delicious room judith team set us perfect view spectacular special thanks service express team excellent service provide although need obtain queue number visit facility procedures extremely easy fast every need cater utmost perfection make us feel important would visit excellent service provide service staff,Positive
128,fantastic staycation family wonderful very safe environment know already high standard iconic really impressed safety measure place due ongoing pandemic kudos extremely attentive staff management make us feel safe enjoy great need staycation,Positive
129,must stay mostly famous infinity pool many chic restaurant dine also casino huge connect best mall,Positive
130,infinity pool spago staff really awesome pool uncle coach lifeguard very friendly humble rise could better renku very good world best gym experience daniel boulads db oyster treat,Positive
131,marina bay sand experinced life pool excallant room clean big feel like king roof view excallant storngly suggest stay marina bay sand visit pore,Positive
132,lucky free staycation room level amazing view garden n sea balcony narrow no room sit room very spacious bed huge comfortable baby cot provide bathroom big bathtub seperate shower toilet very clean pool not allow kid float life jacket wasn mention website month old baby enter pool life jacket without lifeguard say float might tip edge,Positive
133,purpose write review compliment staff wonder service thanks staff make comfortable stay past four day today last day stay wonderful time spend family day attend utmost warmth although hiccup upon check solve almost immediately impressed see prompt room service despite strict restriction post covid everything come individual wrapper room every touchable surface sanitize frequently comfort seek away home know well protect every need cater utmost perfection,Positive
134,room clean big nice view balcony pool definitely breathtaking awesome view sunny swim day take swim relax pm windy cool very nice give us complimentary small slice cake anniversary,Positive
135,great experience no word room spacious comfortable great view staff sooo friendly thank receptionist son helpful feedback course must go pool little bit expensive king chilly crab rule world,Positive
137,experience not welcome check entrance throughout shop mall room amaze comfort beautiful view infinity pool top main attraction pool available guest amazing also find couple nice restaurant plus cocktail bar available non guest within walk distance garden bay room facing garden view night world highly recommend place,Positive
138,extremely clean great service beautiful view great food great architecture must visit enjoyed pool jacuzzis room living room tv room bedroom giant room electric blind etc view amaze,Positive
139,lucky check early could get sleep long flight really nice service go swim straight love book mainly view not let phenomenal,Positive
140,check night face garden bay music colorful lighting watch balcony buffet spread very impressive ate much staff very helpful friendly,Positive
142,stay reputation very easy approach cynical perspective however stay marina bay sand show anything sometimes judge book cover upon initial arrival taxi bag take us member staff ready bring room check queue check take roughly minute even though arrived hour would normally open told could head deluxe king harbour view room also mean could access infinity pool straightaway blissful quieter period majority guest check check highly urge anyone stay hereto consider harbour view upgrades not,Positive
143,best check experience year travel pre covid upon reservation inform check tower reception line ask reservation staff see confirmation voucher ask follow staff check lounge locate tower little walk worth lounge exclusive check amenity unlimited fresh juice coffee bottle water biscuit pastry candy wifi lot beautiful orchid front desk staff very cordial helpful also receive stem flower staff vip experience indeed check experienced accommodation covet high top f infinity,Positive
144,second time stay luxury not disappoint room bathrooms big size amazing view garden night access infinity pool brekkie pool one morning drink one rooftop bar one evening celebrate mum birthday even organised birthday cake deliver room,Positive
145,stayed couple time friends partner every time come always amaze build knowledge architect team superb building unique amaze building pool favorite spot course think everyone love view ambiance everything good oh room really spacious good family food find building may pricey minimal range need one building,Positive
146,impeccable service start end time friend family always satisfy experience not mention infinity pool definitely great place wind relax particularly prefer head night little quiet wide variety restaurant bar available till late might crave gourmet supper,Positive
147,wonderful stay mb pick room overlook garden didn disappoint room nicely appoint view great first visit definitely happy decide stay mb mbs felt like truly experience love rooftop bar infinity pool grant pool busy early worth picture memory couldn get enough view bar night grant busy destination also commend take step safe light coronavirus pandemic enter lobby everyone thermal scan fever also lots hand sanitizer sit common area hotel next stop,Positive
148,mbs couple time boyfriend very comfortable environment love room even pillow totally relaxing stay together infinity pool definitely back,Positive
149,mbs one top hotel famous iconic infinity pool view staycation wife wonderful experience service impeccable room spacious comfortable expect anything less top oh really outperformed keep team mb,Positive
150,probably one best hotel stay two full day stay one night still didn get see everything pool everything light show night garden something always remember mail botanical garden incredible,Positive
151,signature infinity pool stunning architecture take cake many level pun unintended short air condition stroll mrt station whole fingertip spacious room indeed surprise find room big unfortunately doesn anything birthday celebration,Positive
152,stay night attend event didn much time explore whole great location superb facility amaze many guest accommodate everyday front desk counter side wing accessible mtr also mall next lot restaurant choice get visit casino well must visit suggest make worth hope back soon longoverduefeedback,Positive
153,move night spend night another line check look huge go fast people offer water juice people wait room high floor face garden love view amaze location make perfect opinion next everything walk lovely walk merlion back several time plenty restaurant choose love buffet breakfast dinner little pricey worth bad think us roof top pool sooo cold impossible enjoy swim brave enough get twice one per night one day could,Positive
154,love much very good location good facility nice staff one best impressive impressed staff extremely friendly well mannered top customer service give staff make experience breakfast dinner much enjoyable love infinity pool well,Positive
155,travel asia lot business always end stay night always tell try another next time reason always end back marina bay staff friendly service beyond would expect large stature locate right next metro station easily get around garden bay across street offer daily light show highly recommend anyone look best pool world truly great place swim enjoy infinity pool great cocktail,Positive
156,far favourite stay time facility world class staff amazing week much see clark quay sentosa island merlion marina bay sand,Positive
157,start moment arrive greeted luggage take escorted counter check room like minute room th floor city view king suite gorgeous quickly get settle head th floor infinity pool overlook city pool huge beautiful staff every want also shop mall attach huge great shop even restaurant chefs like gordon ramsey dan boloud wolfgang puck etc rooftop restaurant ce la vi loma excellent ce la vi bar becomes night club pm live dj could go definitely back,Positive
160,spent five night acclimatize jetlag flight arrival departure time couldn justify night due price opt two night family room well appoint quite spacious early check without problem get room fridge deliver store alcohol beverage pricey minibar great location ate marvel restaurant black bunned batman burger not bad rooftop pool worth price room spend many hour lounge sun soak pool hot tub,Positive
161,marina bay sand bucket list happily tick last december enjoy stay although get two room since five family changi airport wete fetch mbs private limousine lucky didnt queue check jiffy thanks ever efficient front office premium service billet th floor overlook garden bay view definitely spectacular especially night get two interconnect room enjoy amenity provide us course never miss swim theur iconic infinity pool th floor although water icy cold late afternoon night whole stay mbs lifetime experience,Positive
162,amaze stay amaze well worth stay fortunate get upgrade arrival stay room amaze view garden marina also breakfast include delicious due time visit mid covid must say spot staff extremely helpful friendly give circumstance hat amaze,Positive
163,iconic popular despite room rate good service incredible infinity pool unforgettable photo outstanding celebrity restaurant like dbbistro cut wish room modern japanese full service bathroom instal wish tv system user friendly,Positive
164,everyone need stay least life get high floor view really worth pool really nice although spring break vibe service nice friendly throughout huge kind feel like la vegas actually casino connect also great mall wonderful able walk around garden see light show room night room nice comfortable bed nice bathroom,Positive
165,arrive shortly close wish best arrive early offer great room high floor face city view amaze close garden bay very empty make good time no people,Positive
166,one night mb definitely not enough room huge lovely view infinity pool amazing service every staff encounter great thank suren make staycation awesome,Positive
168,mid feb relieve effort take protect guest coronavirus take temperature everyone come wasn full also relief stayed one top floor delight huge room amenity spectacular view think stay worth price tag pool must also greatly appreciated easy walk garden bay great way spend day view rooftop restaurant amaze candidly ce la vie disappoint food drink category simply not worth outrageous price tag staff wonderful would stay,Positive
